IC5376;9.37;0.50;-0.44;0.13;0.48;0.11;8.53;0.04;1.34;0.21
UGC00005;9.18;0.28;-0.37;0.11;0.29;0.09;8.57;0.04;1.28;0.18
NGC7819;8.81;0.44;-0.28;0.14;0.06;0.06;8.47;0.07;0.82;0.17
IC1528;9.03;0.31;-0.41;0.14;0.19;0.10;8.51;0.04;0.77;0.14
UGC00036;9.56;0.44;-0.24;0.15;0.10;0.06;8.53;0.05;1.22;0.25
NGC0001;9.18;0.32;-0.46;0.12;0.49;0.10;8.58;0.05;1.19;0.17
NGC0036;9.33;0.44;-0.37;0.15;0.21;0.09;8.53;0.05;1.26;0.22
MCG-02-02-030;9.40;0.30;-0.37;0.12;0.07;0.05;8.56;0.03;0.91;0.13
UGC00312;8.54;0.36;-0.40;0.13;0.26;0.13;8.29;0.05;0.46;0.07
UGC00335NED02;9.42;0.36;-0.31;0.17;0.14;0.07;nan;nan;0.93;0.80
NGC0169;9.16;0.62;-0.26;0.17;0.73;0.24;8.53;0.06;1.62;0.19
NGC0171;9.22;0.23;-0.23;0.14;0.04;0.05;8.55;0.05;0.70;0.14
NGC0180;8.23;0.43;-0.24;0.18;0.80;0.13;8.56;0.06;0.90;0.17
NGC0192;9.49;0.47;-0.39;0.11;0.28;0.07;8.55;0.05;1.32;0.18
NGC0216;8.72;0.33;-0.42;0.13;0.12;0.08;8.35;0.04;0.42;0.06
NGC0237;8.85;0.25;-0.43;0.11;0.32;0.13;8.55;0.03;0.86;0.13
IC1652;7.87;0.66;-0.20;0.15;0.25;0.12;nan;nan;nan;nan
NGC0444;8.87;0.21;-0.35;0.16;0.12;0.07;8.40;0.04;0.57;0.11
UGC00809;8.98;0.25;-0.40;0.13;0.13;0.09;8.41;0.03;1.02;0.13
UGC00841;8.79;0.53;-0.25;0.20;0.41;0.11;8.49;0.08;0.98;0.16
NGC0477;8.90;0.32;-0.34;0.15;0.11;0.07;8.49;0.06;0.97;0.18
IC1683;9.47;0.61;-0.35;0.14;0.34;0.08;8.57;0.04;1.75;0.19
NGC0499;9.84;0.54;-0.24;0.17;0.13;0.06;nan;nan;nan;nan
NGC0496;8.86;0.39;-0.33;0.17;0.19;0.09;8.45;0.05;0.87;0.17
NGC0528;9.71;0.41;-0.01;0.10;0.00;0.01;nan;nan;nan;nan
UGC01057;8.79;0.27;-0.36;0.15;0.17;0.08;8.44;0.06;0.68;0.12
NGC0774;9.76;0.47;-0.26;0.12;0.02;0.02;8.54;0.02;0.71;0.28
NGC0776;9.29;0.38;-0.31;0.15;0.18;0.08;8.58;0.06;0.93;0.14
NGC0810;9.77;0.54;-0.27;0.15;0.05;0.04;nan;nan;nan;nan
NGC0825;9.57;0.41;-0.38;0.15;0.28;0.12;8.46;0.05;0.83;0.22
UGC01938;8.85;0.29;-0.32;0.14;0.33;0.08;8.45;0.05;0.78;0.13
NGC1056;9.08;0.39;-0.40;0.14;0.42;0.11;8.43;0.06;1.42;0.18
UGC02222;9.48;0.41;-0.24;0.14;0.07;0.09;nan;nan;nan;nan
UGC02229;9.67;0.33;-0.23;0.15;0.05;0.05;nan;nan;1.41;0.38
UGC02403;9.33;0.52;-0.41;0.12;0.51;0.11;8.55;0.04;1.41;0.19
NGC1349;9.56;0.49;-0.29;0.18;0.01;0.03;8.50;0.06;1.00;0.27
NGC1542;9.24;0.50;-0.35;0.15;0.51;0.15;8.51;0.06;1.75;0.22
UGC03107;8.85;0.35;-0.19;0.14;0.32;0.15;8.54;0.03;1.47;0.23
NGC1645;9.22;0.37;-0.23;0.14;0.09;0.10;8.51;0.06;0.59;0.28
IC2095;8.21;0.53;-0.28;0.19;0.11;0.09;8.31;0.10;0.66;0.17
UGC03253;8.34;0.41;-0.28;0.13;1.22;0.08;8.50;0.07;1.11;0.22
NGC2253;9.24;0.59;-0.38;0.10;0.30;0.06;8.59;0.03;1.23;0.12
UGC03539;8.09;0.56;-0.28;0.16;0.71;0.18;8.39;0.07;1.30;0.23
NGC2347;9.00;0.42;-0.45;0.10;0.32;0.08;8.56;0.04;0.62;0.11
UGC03899;8.21;0.43;-0.28;0.17;0.35;0.14;8.27;0.07;0.69;0.15
NGC2410;9.29;0.46;-0.29;0.14;0.41;0.08;8.51;0.04;1.32;0.21
UGC03969;9.10;0.42;-0.19;0.17;0.66;0.17;8.49;0.05;1.74;0.18
UGC03995;9.24;0.43;-0.28;0.16;0.15;0.09;8.51;0.05;0.86;0.16
NGC2449;9.11;0.61;-0.18;0.14;0.74;0.07;8.59;0.04;0.88;0.15
UGC04132;8.85;0.60;-0.28;0.14;0.76;0.10;8.54;0.03;1.63;0.16
UGC04722;0.;0.;0.;0.;0.;0.;nan;nan;nan;nan
NGC2730;7.74;0.30;-0.37;0.14;0.64;0.12;8.44;0.04;0.58;0.11
NGC2880;9.80;0.22;-0.35;0.13;0.01;0.02;nan;nan;nan;nan
IC2487;9.18;0.34;-0.48;0.10;0.41;0.06;8.51;0.04;1.10;0.17
IC0540;9.52;0.56;-0.45;0.10;0.45;0.09;nan;nan;1.26;0.28
NGC2906;9.22;0.33;-0.41;0.10;0.22;0.06;8.60;0.04;0.75;0.11
NGC2916;9.03;0.24;-0.36;0.11;0.04;0.04;8.55;0.05;0.71;0.13
UGC05108;9.16;0.40;-0.19;0.16;0.15;0.10;8.50;0.06;1.48;0.23
UGC05358;8.54;0.30;-0.24;0.16;0.33;0.08;8.35;0.06;0.77;0.18
UGC05359;8.74;0.55;-0.17;0.16;0.62;0.16;8.47;0.10;1.19;0.30
UGC05396;8.99;0.24;-0.26;0.11;0.19;0.10;8.45;0.05;0.94;0.17
NGC3106;9.46;0.68;-0.26;0.18;0.14;0.06;8.50;0.06;1.05;0.30
UGC05498NED01;9.35;0.29;-0.29;0.13;0.32;0.15;8.43;0.07;1.17;0.21
NGC3160;9.68;0.58;-0.04;0.11;0.06;0.05;nan;nan;nan;nan
UGC05598;9.00;0.30;-0.42;0.13;0.36;0.10;8.45;0.05;0.92;0.15
NGC3303;9.61;0.23;-0.28;0.15;0.11;0.08;8.52;0.05;1.22;0.18
UGC05771;9.77;0.54;-0.23;0.14;0.05;0.03;8.49;0.05;0.87;0.55
NGC3381;8.84;0.21;-0.39;0.10;0.06;0.05;8.52;0.03;0.38;0.06
UGC06036;9.36;0.87;-0.13;0.14;0.12;0.08;nan;nan;nan;nan
IC0674;9.37;0.24;-0.26;0.16;0.19;0.09;8.50;0.06;0.84;0.20
NGC3614;9.10;0.25;-0.40;0.13;0.04;0.04;8.49;0.05;0.81;0.14
NGC3811;8.96;0.26;-0.36;0.14;0.16;0.06;8.55;0.03;0.78;0.14
NGC3991;8.04;0.48;-0.23;0.16;0.23;0.13;8.28;0.02;0.46;0.07
NGC3994;8.90;0.32;-0.42;0.12;0.28;0.10;8.49;0.02;0.69;0.11
NGC4003;9.59;0.20;-0.06;0.16;0.08;0.08;nan;nan;nan;nan
UGC07012;8.54;0.38;-0.28;0.14;0.21;0.11;8.39;0.05;0.39;0.07
NGC4149;9.40;0.77;-0.32;0.12;0.61;0.11;8.52;0.03;1.79;0.14
NGC4185;9.44;0.43;-0.33;0.13;0.03;0.03;8.55;0.05;0.89;0.17
NGC4210;9.20;0.50;-0.34;0.12;0.01;0.01;8.57;0.04;0.60;0.12
IC0776;8.42;0.57;-0.26;0.17;0.23;0.16;8.31;0.06;0.28;0.12
NGC4470;8.94;0.26;-0.47;0.10;0.11;0.07;8.45;0.02;0.45;0.07
NGC4644;9.43;0.50;-0.22;0.11;0.12;0.08;8.58;0.04;0.97;0.13
NGC4676A;0.;0.;0.;0.;0.;0.;nan;nan;nan;nan
NGC4874;9.64;0.67;-0.23;0.19;1e-12.;3.19;nan;nan;nan;nan
UGC08107;9.18;0.33;-0.35;0.15;0.37;0.13;8.45;0.05;1.45;0.22
UGC08231;8.14;0.37;-0.32;0.14;0.11;0.08;8.23;0.05;0.18;0.04
UGC08234;9.37;0.17;-0.21;0.15;0.02;0.03;nan;nan;nan;nan
NGC5000;9.26;0.54;-0.21;0.16;0.11;0.05;8.55;0.05;1.15;0.22
UGC08250;8.85;0.29;-0.38;0.16;0.33;0.12;8.38;0.04;0.72;0.11
UGC08267;9.31;0.57;-0.22;0.13;0.71;0.08;8.55;0.04;1.84;0.24
NGC5205;9.22;0.17;-0.36;0.14;0.06;0.04;8.54;0.06;0.87;0.20
NGC5216;9.53;0.37;-0.22;0.18;0.01;0.03;8.43;0.05;0.07;0.96
UGC08733;8.80;0.29;-0.29;0.13;0.07;0.08;8.36;0.06;0.35;0.09
IC0944;9.61;0.31;-0.16;0.12;0.35;0.12;8.52;0.05;2.06;0.35
UGC08778;9.55;0.78;-0.40;0.11;0.22;0.06;8.54;0.03;1.25;0.20
UGC08781;9.28;0.52;-0.21;0.16;0.03;0.03;8.53;0.05;1.00;0.22
NGC5378;9.51;0.52;-0.26;0.15;0.10;0.06;8.50;0.06;1.23;0.24
NGC5394;8.96;0.23;-0.24;0.15;0.08;0.06;8.56;0.06;1.46;0.20
NGC5406;9.41;0.47;-0.32;0.12;0.09;0.04;8.59;0.05;0.96;0.15
NGC5485;9.76;0.23;-0.21;0.13;0.00;0.02;nan;nan;nan;nan
UGC09067;9.00;0.33;-0.33;0.15;0.27;0.11;8.53;0.04;0.85;0.12
NGC5520;8.84;0.23;-0.38;0.12;0.15;0.08;8.51;0.04;0.65;0.10
NGC5614;9.64;0.42;-0.43;0.11;0.20;0.08;8.54;0.06;1.36;0.24
NGC5630;8.52;0.34;-0.37;0.13;0.19;0.13;8.32;0.03;0.42;0.06
NGC5682;8.78;0.36;-0.39;0.12;0.22;0.11;8.34;0.03;0.50;0.07
NGC5720;9.33;0.36;-0.33;0.15;0.16;0.06;8.52;0.06;1.17;0.23
UGC09476;9.00;0.32;-0.41;0.15;0.11;0.06;8.52;0.03;0.69;0.10
NGC5784;9.73;0.51;-0.35;0.14;0.04;0.03;nan;nan;nan;nan
UGC09665;8.91;0.35;-0.39;0.12;0.78;0.09;8.46;0.03;1.33;0.11
NGC5888;9.52;0.40;-0.25;0.10;0.12;0.04;8.58;0.04;1.03;0.16
NGC5908;9.53;0.73;-0.27;0.15;0.71;0.15;8.53;0.04;1.85;0.22
NGC5930;9.61;0.16;-0.32;0.14;0.03;0.05;8.46;0.05;1.26;0.21
UGC09873;8.77;0.33;-0.36;0.09;0.56;0.12;8.45;0.04;1.04;0.16
UGC09892;9.17;0.22;-0.41;0.13;0.22;0.08;8.48;0.04;0.93;0.13
NGC5966;9.63;0.34;-0.24;0.14;0.00;0.00;8.50;0.04;0.81;0.88
IC4566;9.39;0.35;-0.29;0.15;0.19;0.08;8.55;0.06;1.40;0.20
NGC5987;9.73;0.46;-0.30;0.13;0.58;0.20;8.48;0.08;1.87;0.42
NGC6004;9.33;0.33;-0.36;0.11;0.07;0.04;8.57;0.05;0.78;0.14
NGC6020;9.63;0.63;-0.29;0.14;0.14;0.11;nan;nan;nan;nan
NGC6021;9.66;0.40;-0.22;0.17;0.01;0.02;nan;nan;nan;nan
NGC6032;9.29;0.31;-0.15;0.20;0.15;0.11;8.51;0.07;1.17;0.17
UGC10205;9.43;0.34;-0.24;0.18;0.25;0.10;8.49;0.04;2.01;0.32
NGC6063;9.19;0.25;-0.42;0.14;0.08;0.08;8.49;0.05;0.66;0.13
IC1199;9.15;0.51;-0.28;0.17;0.32;0.15;8.53;0.06;0.95;0.15
NGC6081;9.72;0.60;-0.20;0.14;0.09;0.05;nan;nan;nan;nan
UGC10331;8.93;0.24;-0.48;0.10;0.38;0.08;8.38;0.03;0.91;0.08
NGC6125;9.67;0.23;-0.24;0.18;0.11;0.08;nan;nan;nan;nan
NGC6132;8.75;0.34;-0.40;0.14;0.27;0.13;8.43;0.04;0.70;0.13
NGC6146;9.69;0.63;-0.07;0.13;1.00;2.93;nan;nan;nan;nan
NGC6154;9.58;0.39;-0.31;0.13;0.04;0.02;8.55;0.05;1.04;0.19
UGC10380;8.61;0.56;-0.25;0.15;0.59;0.18;8.52;0.06;1.76;0.30
NGC6150;9.75;0.68;0.02;0.08;1e-12.;5.50;nan;nan;nan;nan
UGC10384;8.54;0.56;-0.33;0.14;0.76;0.15;8.50;0.04;1.30;0.19
UGC10388;9.66;0.33;-0.26;0.17;0.04;0.04;8.45;0.04;1.21;0.38
NGC6173;9.83;0.48;-0.25;0.15;0.05;0.05;nan;nan;nan;nan
NGC6168;8.82;0.31;-0.45;0.10;0.55;0.13;8.39;0.02;0.98;0.12
UGC10650;8.27;0.61;-0.28;0.16;0.62;0.23;8.36;0.05;0.50;0.10
UGC10693;9.79;0.27;-0.32;0.14;0.04;0.06;nan;nan;nan;nan
UGC10695;9.71;0.22;-0.30;0.17;0.04;0.06;8.44;0.08;0.70;0.70
UGC10710;9.04;0.39;-0.24;0.19;0.56;0.20;8.51;0.04;1.06;0.18
NGC6310;9.73;0.62;-0.32;0.10;0.17;0.04;8.56;0.04;1.08;0.17
NGC6314;9.54;0.49;-0.42;0.12;0.28;0.12;8.49;0.05;1.81;0.44
NGC6338;9.49;0.37;-0.25;0.19;0.16;0.09;nan;nan;nan;nan
UGC10796;8.62;0.43;-0.24;0.12;0.33;0.16;8.40;0.06;0.61;0.17
UGC10811;8.42;0.43;-0.21;0.14;0.60;0.16;8.49;0.07;1.14;0.28
IC1256;9.28;0.37;-0.35;0.13;0.18;0.09;8.56;0.06;0.85;0.16
NGC6394;9.50;0.22;-0.37;0.14;0.13;0.08;8.54;0.04;1.25;0.19
UGC10905;9.71;0.51;-0.31;0.16;0.22;0.09;nan;nan;nan;nan
NGC6411;9.73;0.19;-0.27;0.12;0.00;0.00;8.59;0.03;0.00;0.50
NGC6427;9.82;0.68;-0.13;0.14;0.00;0.00;nan;nan;nan;nan
UGC10972;8.93;0.28;-0.22;0.14;0.39;0.11;8.44;0.07;0.87;0.17
NGC6478;8.68;0.79;-0.36;0.13;0.70;0.09;8.56;0.04;1.67;0.22
NGC6497;8.86;0.67;-0.24;0.11;0.31;0.10;8.57;0.05;0.84;0.16
NGC6515;9.73;0.26;-0.29;0.18;0.00;0.00;nan;nan;nan;nan
UGC11228;9.71;0.67;-0.13;0.16;0.12;0.05;nan;nan;nan;nan
UGC11262;8.70;0.43;-0.28;0.19;0.32;0.15;8.41;0.08;0.62;0.16
NGC6762;9.75;0.46;-0.35;0.13;0.06;0.05;nan;nan;nan;nan
MCG-02-51-004;8.59;0.64;-0.25;0.12;0.59;0.08;8.48;0.05;1.08;0.17
NGC6941;9.52;0.18;-0.27;0.14;0.08;0.05;8.56;0.06;1.15;0.21
NGC6978;9.43;0.52;-0.30;0.13;0.28;0.07;8.57;0.05;1.10;0.23
UGC11649;9.43;0.20;-0.22;0.13;0.01;0.02;8.55;0.06;0.75;0.17
NGC7025;9.73;0.46;-0.33;0.16;0.17;0.11;8.50;0.05;1.21;0.37
UGC11717;8.28;0.69;-0.23;0.18;0.32;0.17;8.57;0.04;1.89;0.23
MCG-01-54-016;8.28;0.60;-0.29;0.17;0.60;0.22;8.28;0.11;0.62;0.12
UGC11792;8.52;0.48;-0.43;0.13;1.39;0.08;8.47;0.05;1.75;0.26
NGC7194;9.78;0.38;-0.13;0.15;0.00;0.00;nan;nan;nan;nan
UGC11958;9.59;0.41;-0.24;0.21;0.20;0.12;nan;nan;0.57;0.79
UGC11982;8.64;0.72;-0.20;0.16;0.15;0.09;8.38;0.07;1.12;0.25
UGC12054;8.66;0.52;-0.35;0.16;0.41;0.17;8.31;0.05;0.61;0.13
NGC7311;9.39;0.38;-0.36;0.13;0.33;0.10;8.58;0.04;1.27;0.15
NGC7321;9.24;0.30;-0.39;0.11;0.19;0.08;8.58;0.04;0.92;0.12
UGC12127;9.77;0.52;-0.33;0.16;0.05;0.04;nan;nan;nan;nan
UGC12185;9.38;0.41;-0.31;0.15;0.10;0.06;8.50;0.05;1.24;0.26
UGC12224;8.78;0.26;-0.30;0.17;0.08;0.07;8.48;0.05;0.57;0.13
NGC7436B;9.47;0.32;-0.29;0.18;0.23;0.16;nan;nan;nan;nan
UGC12274;9.73;0.69;-0.19;0.11;0.07;0.04;nan;nan;1.28;0.42
UGC12308;8.38;0.27;-0.33;0.14;0.10;0.08;8.28;0.06;0.29;0.09
NGC7466;9.15;0.34;-0.40;0.15;0.32;0.11;8.52;0.04;1.25;0.18
NGC7489;8.22;0.26;-0.31;0.11;0.41;0.10;8.39;0.05;1.20;0.22
NGC7549;8.91;0.31;-0.31;0.17;0.40;0.15;8.53;0.05;1.13;0.17
NGC7563;9.70;0.63;-0.04;0.15;0.09;0.05;nan;nan;nan;nan
NGC7562;9.88;0.55;-0.16;0.12;0.01;0.01;nan;nan;nan;nan
NGC7591;9.20;0.29;-0.41;0.11;0.53;0.12;8.55;0.05;1.68;0.22
UGC12519;8.96;0.41;-0.44;0.10;0.54;0.07;8.51;0.04;1.01;0.10
UGC12518;9.69;0.29;-0.24;0.16;0.63;0.13;nan;nan;nan;nan
NGC7625;9.19;0.39;-0.47;0.10;0.49;0.17;8.56;0.03;1.08;0.16
NGC7631;9.23;0.41;-0.39;0.12;0.21;0.08;8.54;0.06;0.90;0.16
NGC7653;9.07;0.24;-0.45;0.12;0.11;0.08;8.55;0.04;0.74;0.13
NGC7671;9.85;0.64;-0.17;0.14;0.00;0.01;nan;nan;nan;nan
NGC7683;9.94;0.70;-0.16;0.15;0.09;0.03;nan;nan;nan;nan
UGC12688;8.67;0.33;-0.27;0.14;0.45;0.18;8.48;0.03;1.18;0.13
NGC7716;9.27;0.28;-0.44;0.16;0.10;0.05;8.49;0.03;0.70;0.14
NGC7738;9.71;0.46;-0.19;0.14;0.10;0.05;8.56;0.05;1.72;0.35
UGC12816;8.44;0.52;-0.21;0.19;0.31;0.21;8.38;0.06;0.76;0.15
NGC7783NED01;7.88;0.80;-0.17;0.17;0.04;0.05;nan;nan;nan;nan
UGC12864;8.78;0.35;-0.27;0.14;0.15;0.07;8.43;0.08;0.63;0.11
MCG-01-01-012;9.05;0.48;-0.20;0.19;1.39;0.10;nan;nan;2.84;0.40
NGC7800;8.55;0.41;-0.39;0.15;0.34;0.16;8.29;0.04;0.47;0.07
NGC5947;9.12;0.35;-0.30;0.16;0.02;0.02;8.54;0.03;0.59;0.13
NGC4676B;9.21;0.33;-0.24;0.20;0.05;0.05;8.48;0.04;1.62;0.21