IC;5376;,001,00;:01:19.77,+34:31:32.52,0.0166,10.65,0.10,0.006,0.105
UG;C000;05,002,;00:03:05.63,-01:54:49.67,0.0240,11.16,0.08,0.867,0.066
NG;C781;9,003,0;0:04:24.50,+31:28:19.20,0.0165,10.61,0.08,0.412,0.067
IC;1528;,005,00;:05:05.37,-07:05:36.23,0.0125,10.54,0.11,0.197,0.064
UG;C000;36,007,;00:05:13.87,+06:46:19.20,0.0208,11.06,0.09,0.186,0.134
NG;C000;1,008,0;0:07:15.86,+27:42:29.16,0.0149,10.82,0.10,0.649,0.063
NG;C003;6,010,0;0:11:22.29,+06:23:21.84,0.0197,11.22,0.10,0.535,0.096
MC;G-02;-02-030;,013,00:30:07.31,-11:06:48.95,0.0115,10.68,0.10,-0.017,0.079
UG;C003;12,014,;00:31:23.92,+08:28:00.11,0.0144,10.35,0.10,0.642,0.053
UG;C003;35NED02;,017,00:33:57.31,+07:16:05.87,0.0179,10.82,0.09,-0.857,0.476
NG;C016;9,022,0;0:36:51.59,+23:59:27.59,0.0153,10.90,0.09,0.500,0.097
NG;C017;1,023,0;0:37:21.55,-19:56:03.12,0.0128,10.93,0.08,0.035,0.116
NG;C018;0,025,0;0:37:57.69,+08:38:06.71,0.0173,11.01,0.08,0.537,0.120
NG;C019;2,026,0;0:39:13.41,+00:51:51.11,0.0136,10.93,0.12,0.459,0.075
NG;C021;6,027,0;0:41:27.16,-21:02:40.91,0.0051,9.64,0.08,-0.502,0.059
NG;C023;7,030,0;0:43:27.83,-00:07:29.,0.0136,10.59,0.10,0.407,0.057
IC;1652;,037,01;:14:56.28,+31:56:54.59,0.0155,10.60,0.09,-0.800,0.334
NG;C044;4,039,0;1:15:49.55,+31:04:50.16,0.0159,10.25,0.11,-0.176,0.088
UG;C008;09,040,;01:15:51.83,+33:48:38.51,0.0138,9.99,0.12,-0.135,0.075
UG;C008;41,041,;01:19:10.03,+33:01:50.15,0.0183,10.31,0.13,-0.027,0.093
NG;C047;7,042,0;1:21:20.47,+40:29:17.16,0.0195,10.89,0.11,0.492,0.084
IC;1683;,043,01;:22:38.92,+34:26:13.56,0.0160,10.76,0.11,0.537,0.066
NG;C049;9,044,0;1:23:11.49,+33:27:36.72,0.0146,11.34,0.09,1.218,0.421
NG;C049;6,045,0;1:23:11.59,+33:31:45.47,0.0200,10.84,0.12,0.659,0.072
NG;C052;8,050,0;1:25:33.57,+33:40:17.03,0.0156,11.05,0.10,-0.157,0.328
UG;C010;57,053,;01:28:53.25,+13:47:37.67,0.0210,10.63,0.12,0.373,0.069
NG;C077;4,072,0;1:59:34.72,+14:00:29.52,0.0151,11.02,0.10,-0.906,0.248
NG;C077;6,073,0;1:59:54.52,+23:38:39.48,0.0161,11.08,0.09,0.616,0.066
NG;C081;0,076,0;2:05:28.56,+13:15:05.75,0.0257,11.48,0.10,-0.436,0.395
NG;C082;5,077,0;2:08:32.32,+06:19:25.31,0.0110,10.63,0.10,-0.702,0.176
UG;C019;38,088,;02:28:22.12,+23:12:52.56,0.0211,10.65,0.14,0.373,0.079
NG;C105;6,100,0;2:42:48.31,+28:34:27.12,0.0053,10.20,0.10,0.095,0.059
UG;C022;22,103,;02:45:09.67,+32:59:22.91,0.0162,10.93,0.10,-0.722,0.419
UG;C022;29,104,;02:45:27.57,+00:54:51.,0.0241,11.15,0.08,-0.179,0.274
UG;C024;03,115,;02:55:57.26,+00:41:33.36,0.0137,10.59,0.11,0.510,0.072
NG;C134;9,127,0;3:31:27.50,+04:22:51.24,0.0218,11.33,0.09,0.078,0.270
NG;C154;2,131,0;4:17:14.18,+04:46:54.11,0.0123,10.55,0.10,-0.024,0.127
UG;C031;07,133,;04:37:21.83,+09:32:40.92,0.0277,10.88,0.11,0.685,0.095
NG;C164;5,134,0;4:44:06.40,-05:27:56.,0.0159,11.03,0.09,-0.279,0.215
IC;2095;,141,04;:48:45.88,-05:07:28.56,0.0091,9.00,0.14,-0.746,0.075
UG;C032;53,146,;05:19:41.87,+84:03:09.35,0.0136,10.63,0.10,0.231,0.106
NG;C225;3,147,0;6:43:41.83,+65:12:23.04,0.0118,10.80,0.10,0.495,0.061
UG;C035;39,148,;06:48:53.99,+66:15:41.76,0.0107,9.83,0.12,-0.169,0.089
NG;C234;7,149,0;7:16:04.07,+64:42:40.67,0.0146,11.04,0.10,0.542,0.066
UG;C038;99,150,;07:32:37.75,+35:36:52.19,0.0128,9.59,0.13,-0.238,0.072
NG;C241;0,151,0;7:35:02.25,+32:49:19.55,0.0153,11.03,0.09,0.549,0.112
UG;C039;69,153,;07:41:14.35,+27:36:50.76,0.0269,10.73,0.10,0.551,0.084
UG;C039;95,155,;07:44:09.11,+29:14:50.63,0.0157,11.15,0.08,0.247,0.138
NG;C244;9,156,0;7:47:20.30,+26:55:48.71,0.0161,11.07,0.09,0.037,0.168
UG;C041;32,165,;07:59:13.05,+32:54:52.92,0.0172,10.93,0.11,0.959,0.069
UG;C047;22,231,;09:00:24.12,+25:36:52.91,0.0059,8.81,0.12,-1.035,0.083
NG;C273;0,232,0;9:02:15.81,+16:50:17.88,0.0125,10.13,0.08,0.232,0.062
NG;C288;0,272,0;9:29:34.55,+62:29:26.16,0.0038,10.55,0.08,-2.275,0.655
IC;2487;,273,09;:30:09.16,+20:05:26.88,0.0142,10.59,0.12,0.166,0.077
IC;540;,274,09;:30:10.34,+07:54:10.08,0.0068,9.83,0.12,-1.086,0.168
NG;C290;6,275,0;9:32:06.21,+08:26:30.48,0.0071,10.58,0.08,-0.095,0.060
NG;C291;6,277,0;9:34:57.59,+21:42:19.08,0.0121,10.96,0.08,0.348,0.074
UG;C051;08,278,;09:35:26.27,+29:48:45.35,0.0267,11.10,0.11,0.662,0.120
UG;C053;58,306,;09:58:47.13,+11:23:19.32,0.0098,9.56,0.12,-0.497,0.102
UG;C053;59,307,;09:58:51.64,+19:12:53.99,0.0281,10.85,0.13,0.298,0.208
UG;C053;96,309,;10:01:40.48,+10:45:23.03,0.0179,10.59,0.13,0.017,0.147
NG;C310;6,311,1;0:04:05.25,+31:11:07.80,0.0205,11.40,0.08,0.220,0.247
UG;C054;98NED01;,314,10:12:03.64,+23:05:07.43,0.0209,10.76,0.10,-0.043,0.134
NG;C316;0,319,1;0:13:55.10,+38:50:34.44,0.0227,10.92,0.10,0.275,0.297
UG;C055;98,326,;10:22:13.99,+20:35:21.84,0.0188,10.40,0.11,0.147,0.090
NG;C330;3,340,1;0:37:00.09,+18:08:09.23,0.0205,11.16,0.09,0.414,0.136
UG;C057;71,341,;10:37:19.34,+43:35:15.36,0.0245,11.27,0.10,-0.304,0.241
NG;C338;1,353,1;0:48:24.81,+34:42:41.03,0.0055,9.88,0.09,-0.407,0.055
UG;C060;36,364,;10:55:55.27,+36:51:41.39,0.0215,11.12,0.10,-0.073,0.234
IC;674;,381,11;:11:06.36,+43:37:58.80,0.0246,11.14,0.10,-0.024,0.165
NG;C361;4,388,1;1:18:21.33,+45:44:53.51,0.0076,10.31,0.10,-0.251,0.071
NG;C381;1,436,1;1:41:16.63,+47:41:26.88,0.0104,10.64,0.10,0.351,0.072
NG;C399;1,475,1;1:57:30.95,+32:20:13.20,0.0102,9.90,0.09,0.424,0.051
NG;C399;4,476,1;1:57:36.86,+32:16:39.35,0.0103,10.59,0.11,0.565,0.052
NG;C400;3,479,1;1:57:59.04,+23:07:29.64,0.0217,11.12,0.12,0.251,0.156
UG;C070;12,486,;12:02:03.14,+29:50:52.79,0.0102,9.90,0.10,-0.102,0.060
NG;C414;9,502,1;2:10:32.85,+58:18:14.75,0.0101,10.45,0.10,-0.355,0.120
NG;C418;5,515,1;2:13:22.20,+28:30:39.59,0.0128,10.85,0.11,0.046,0.091
NG;C421;0,518,1;2:15:15.84,+65:59:07.07,0.0088,10.50,0.09,-0.205,0.073
IC;776;,528,12;:19:03.12,+08:51:22.31,0.0080,9.59,0.11,-0.482,0.071
NG;C447;0,548,1;2:29:37.77,+07:49:27.12,0.0076,10.23,0.09,-0.009,0.053
NG;C464;4,569,1;2:42:42.67,+55:08:43.79,0.0164,10.68,0.11,0.089,0.089
NG;C467;6A,577,;12:46:10.10,+30:43:54.83,0.0222,10.85,0.10,0.524,0.087
NG;C487;4,592,1;2:59:35.71,+27:57:33.47,0.0242,11.66,0.08,-0.757,0.601
UG;C081;07,593,;12:59:39.76,+53:20:28.32,0.0273,11.20,0.09,0.893,0.078
UG;C082;31,606,;13:08:37.55,+54:04:27.83,0.0080,9.64,0.12,-0.395,0.060
UG;C082;34,607,;13:08:46.51,+62:16:18.12,0.0270,11.39,0.10,-0.955,0.768
NG;C500;0,608,1;3:09:47.49,+28:54:24.84,0.0185,10.94,0.09,0.369,0.139
UG;C082;50,609,;13:10:20.13,+32:28:59.51,0.0173,10.06,0.14,-0.169,0.105
UG;C082;67,610,;13:11:11.32,+43:43:34.68,0.0241,10.77,0.13,0.477,0.148
NG;C520;5,630,1;3:30:03.57,+62:30:41.76,0.0057,9.98,0.09,-0.813,0.120
NG;C521;6,633,1;3:32:06.88,+62:42:02.51,0.0097,10.58,0.09,-1.239,0.238
UG;C087;33,657,;13:48:38.99,+43:24:45.00,0.0076,9.61,0.11,-0.644,0.073
IC;944;,663,13;:51:30.86,+14:05:31.92,0.0230,11.25,0.10,0.413,0.150
UG;C087;78,664,;13:52:06.67,+38:04:01.20,0.0106,10.29,0.11,-0.668,0.109
UG;C087;81,665,;13:52:22.75,+21:32:21.84,0.0250,11.27,0.09,0.289,0.148
NG;C537;8,676,1;3:56:51.02,+37:47:49.91,0.0096,10.61,0.10,-0.617,0.270
NG;C539;4,680,1;3:58:33.19,+37:27:12.96,0.0113,10.38,0.10,0.528,0.056
NG;C540;6,684,1;4:00:20.11,+38:54:55.43,0.0178,11.26,0.08,0.437,0.082
NG;C548;5,708,1;4:07:11.35,+55:00:05.76,0.0062,10.74,0.08,-1.599,0.340
UG;C090;67,714,;14:10:45.45,+15:12:33.84,0.0262,10.96,0.11,0.701,0.074
NG;C552;0,715,1;4:12:22.79,+50:20:54.23,0.0061,10.07,0.10,-0.066,0.054
NG;C561;4,740,1;4:24:07.58,+34:51:32.03,0.0127,11.22,0.08,0.200,0.110
NG;C563;0,749,1;4:27:36.60,+41:15:28.08,0.0088,9.96,0.09,0.048,0.053
NG;C568;2,758,1;4:34:44.97,+48:40:12.72,0.0075,9.58,0.10,-0.498,0.062
NG;C572;0,764,1;4:38:33.28,+50:48:54.71,0.0258,11.19,0.09,0.375,0.133
UG;C094;76,769,;14:41:32.03,+44:30:46.07,0.0107,10.43,0.11,0.045,0.064
NG;C578;4,778,1;4:54:16.43,+42:33:28.43,0.0181,11.32,0.09,0.206,0.093
UG;C096;65,783,;15:01:32.47,+48:19:10.91,0.0083,9.99,0.09,-0.106,0.065
NG;C588;8,789,1;5:13:07.36,+41:15:52.56,0.0289,11.47,0.10,0.396,0.121
NG;C590;8,791,1;5:16:43.20,+55:24:34.55,0.0109,10.95,0.09,0.363,0.080
NG;C593;0,795,1;5:26:07.94,+41:40:33.95,0.0086,10.60,0.10,0.407,0.061
UG;C098;73,797,;15:29:50.64,+42:37:44.04,0.0185,10.20,0.10,0.104,0.088
UG;C098;92,798,;15:32:51.93,+41:11:29.39,0.0188,10.48,0.10,-0.032,0.084
NG;C596;6,806,1;5:35:52.10,+39:46:08.04,0.0148,11.12,0.09,-0.752,0.376
IC;4566;,807,15;:36:42.16,+43:32:21.47,0.0184,11.01,0.10,0.149,0.138
NG;C598;7,809,1;5:39:57.35,+58:04:46.20,0.0100,11.02,0.09,-0.233,0.273
NG;C600;4,813,1;5:50:22.72,+18:56:21.47,0.0127,10.86,0.08,0.209,0.070
NG;C602;0,815,1;5:57:08.13,+22:24:16.55,0.0144,11.04,0.10,-1.260,0.648
NG;C602;1,816,1;5:57:30.69,+15:57:21.59,0.0156,10.97,0.10,-0.543,0.352
NG;C603;2,820,1;6:03:01.12,+20:57:21.23,0.0143,10.65,0.13,-0.056,0.230
UG;C102;05,822,;16:06:40.17,+30:05:56.75,0.0216,11.08,0.10,0.381,0.198
NG;C606;3,823,1;6:07:12.98,+07:58:44.40,0.0094,10.36,0.11,-0.274,0.083
IC;1199;,824,16;:10:34.34,+10:02:25.,0.0156,10.77,0.10,0.162,0.070
NG;C608;1,826,1;6:12:56.85,+09:52:01.56,0.0166,11.03,0.08,-0.326,0.282
UG;C103;31,828,;16:17:21.12,+59:19:12.35,0.0150,10.26,0.10,0.537,0.054
NG;C612;5,829,1;6:19:11.54,+57:59:02.75,0.0157,11.35,0.09,-1.269,0.577
NG;C613;2,831,1;6:23:38.83,+11:47:10.32,0.0165,10.48,0.11,0.301,0.081
NG;C614;6,832,1;6:25:10.32,+40:53:34.43,0.0291,11.71,0.09,-0.102,0.337
NG;C615;4,833,1;6:25:30.48,+49:50:25.07,0.0198,11.14,0.10,0.144,0.115
UG;C103;80,834,;16:25:49.91,+16:34:33.96,0.0291,10.92,0.10,0.678,0.216
NG;C615;0,835,1;6:25:49.96,+40:29:19.32,0.0289,11.42,0.10,-1.010,0.775
UG;C103;84,837,;16:26:46.68,+11:34:49.07,0.0165,10.33,0.13,0.650,0.057
UG;C103;88,838,;16:27:02.97,+16:22:55.92,0.0151,10.71,0.09,-0.537,0.403
NG;C617;3,840,1;6:29:44.87,+40:48:42.12,0.0291,11.81,0.09,0.287,0.577
NG;C616;8,841,1;6:31:20.83,+20:11:08.16,0.0083,9.93,0.10,-0.065,0.060
UG;C106;50,843,;17:00:14.59,+23:06:22.68,0.0095,9.53,0.11,-0.246,0.076
UG;C106;93,845,;17:04:53.01,+41:51:55.79,0.0275,11.61,0.08,1.652,0.556
UG;C106;95,846,;17:05:05.56,+43:02:35.51,0.0275,11.38,0.09,-0.171,0.256
UG;C107;10,847,;17:06:52.51,+43:07:19.91,0.0277,10.92,0.09,0.500,0.097
NG;C631;0,848,1;7:07:57.48,+60:59:24.72,0.0112,10.69,0.11,-0.356,0.108
NG;C631;4,850,1;7:12:38.71,+23:16:12.35,0.0219,11.20,0.09,0.001,0.279
NG;C633;8,851,1;7:15:22.96,+57:24:40.32,0.0270,11.67,0.09,-0.312,0.373
UG;C107;96,852,;17:16:47.73,+61:55:12.35,0.0102,9.77,0.11,-0.504,0.092
UG;C108;11,854,;17:18:43.72,+58:08:06.36,0.0284,11.06,0.09,0.240,0.156
IC;1256;,856,17;:23:47.27,+26:29:11.39,0.0156,10.72,0.12,0.229,0.080
NG;C639;4,857,1;7:30:21.43,+59:38:23.63,0.0282,11.11,0.10,0.612,0.115
UG;C109;05,858,;17:34:06.43,+25:20:38.40,0.0258,11.45,0.10,0.613,0.282
NG;C641;1,859,1;7:35:32.85,+60:48:48.24,0.0119,11.15,0.09,-1.212,0.470
NG;C642;7,860,1;7:43:38.59,+25:29:38.,0.0101,10.81,0.09,-1.305,0.434
UG;C109;72,861,;17:46:21.91,+26:32:37.68,0.0153,10.65,0.10,0.171,0.204
NG;C647;8,862,1;7:48:37.75,+51:09:13.67,0.0223,11.26,0.10,0.999,0.072
NG;C649;7,863,1;7:51:17.97,+59:28:15.24,0.0201,11.34,0.09,0.289,0.130
NG;C651;5,864,1;7:57:25.20,+50:43:41.15,0.0226,11.37,0.09,-0.934,0.551
UG;C112;28,865,;18:24:46.24,+41:29:33.71,0.0190,11.15,0.09,-0.387,0.369
UG;C112;62,866,;18:30:35.68,+42:41:33.72,0.0183,10.33,0.10,-0.317,0.149
NG;C676;2,867,1;9:05:37.07,+63:56:02.76,0.0095,10.43,0.10,-1.275,0.314
MC;G-02;-51-004;,868,20:15:39.86,-13:37:19.19,0.0187,10.92,0.11,0.578,0.078
NG;C694;1,869,2;0:36:23.47,-04:37:07.32,0.0206,11.21,0.10,0.471,0.104
NG;C697;8,871,2;0:52:35.42,-05:42:39.,0.0197,11.13,0.10,0.227,0.115
UG;C116;49,872,;20:55:27.62,-01:13:30.72,0.0124,10.75,0.09,-0.349,0.148
NG;C702;5,874,2;1:07:47.32,+16:20:09.23,0.0162,11.50,0.09,0.065,0.293
UG;C117;17,877,;21:18:35.42,+19:43:07.31,0.0209,11.16,0.09,0.764,0.166
MC;G-01;-54-016;,878,21:25:59.97,-03:48:32.40,0.0095,9.43,0.12,-0.434,0.093
UG;C117;92,880,;21:42:12.69,+05:36:55.44,0.0158,10.34,0.12,0.264,0.115
NG;C719;4,881,2;2:03:30.93,+12:38:12.48,0.0268,11.56,0.09,-0.462,0.636
UG;C119;58,883,;22:14:46.87,+13:50:27.23,0.0259,11.32,0.08,-0.395,0.409
UG;C119;82,884,;22:18:52.94,-01:03:31.31,0.0159,10.09,0.12,-0.276,0.136
UG;C120;54,885,;22:29:32.44,+07:43:33.59,0.0067,9.33,0.11,-0.757,0.072
NG;C731;1,886,2;2:34:06.79,+05:34:13.07,0.0147,11.28,0.10,0.456,0.079
NG;C732;1,887,2;2:36:28.03,+21:37:18.48,0.0235,11.30,0.09,0.737,0.072
UG;C121;27,888,;22:38:29.42,+35:19:46.92,0.0272,11.65,0.09,-0.370,0.574
UG;C121;85,890,;22:47:25.05,+31:22:24.59,0.0218,10.99,0.08,0.064,0.148
UG;C122;24,891,;22:52:38.37,+06:05:36.96,0.0116,10.41,0.11,-0.105,0.089
NG;C743;6B,893,;22:57:57.55,+26:08:59.99,0.0244,11.55,0.09,-0.542,0.514
UG;C122;74,894,;22:58:19.60,+26:03:42.84,0.0251,11.14,0.09,-0.201,0.353
UG;C123;08,895,;23:01:18.69,+14:20:22.56,0.0072,9.49,0.13,-0.632,0.066
NG;C746;6,896,2;3:02:03.45,+27:03:09.36,0.0248,10.98,0.11,0.691,0.076
NG;C748;9,898,2;3:07:32.68,+22:59:53.16,0.0205,11.18,0.08,1.039,0.069
NG;C754;9,901,2;3:15:17.27,+19:02:30.47,0.0154,10.77,0.09,0.517,0.063
NG;C756;3,902,2;3:15:55.92,+13:11:45.95,0.0142,11.13,0.09,-1.416,0.644
NG;C756;2,903,2;3:15:57.50,+06:41:15.,0.0119,11.31,0.09,-1.144,0.507
NG;C759;1,904,2;3:18:16.24,+06:35:08.87,0.0162,10.95,0.10,0.910,0.066
UG;C125;19,909,;23:20:02.75,+15:57:10.07,0.0145,10.48,0.12,0.340,0.060
UG;C125;18,910,;23:20:12.74,+07:55:55.91,0.0126,10.36,0.09,-0.690,0.408
NG;C762;5,913,2;3:20:30.14,+17:13:32.16,0.0052,10.22,0.10,0.237,0.053
NG;C763;1,914,2;3:21:26.66,+08:13:03.35,0.0124,10.77,0.10,-0.000,0.082
NG;C765;3,915,2;3:24:49.36,+15:16:32.16,0.0139,10.82,0.08,0.464,0.062
NG;C767;1,916,2;3:27:19.34,+12:28:02.63,0.0125,11.03,0.10,-1.041,0.417
NG;C768;3,917,2;3:29:03.81,+11:26:42.71,0.0119,11.01,0.10,-0.733,0.394
UG;C126;88,922,;23:35:26.08,+07:19:19.55,0.0173,10.34,0.11,0.352,0.065
NG;C771;6,924,2;3:36:31.43,+00:17:50.,0.0084,10.65,0.08,-0.171,0.083
NG;C773;8,927,2;3:44:02.06,+00:30:59.75,0.0224,11.21,0.10,1.179,0.086
UG;C128;16,930,;23:51:50.68,+03:04:58.08,0.0174,10.34,0.12,0.211,0.110
NG;C778;3NED01,;932,23:54:10.07,+00:22:58.44,0.0247,10.99,0.09,-0.375,0.384
UG;C128;64,935,;23:57:23.92,+30:59:31.56,0.0155,10.38,0.11,0.056,0.079
MC;G-01;-01-012;,936,23:59:10.80,-04:11:29.76,0.0189,10.68,0.09,0.340,0.256
NG;C780;0,937,2;3:59:36.74,+14:48:25.20,0.0056,9.67,0.11,-0.289,0.056
NG;C594;7,938,1;5:30:36.59,+42:43:01.56,0.0196,10.87,0.10,0.319,0.073
NG;C467;6B,939,;12:46:11.23,+30:43:21.71,0.0217,10.95,0.10,0.596,0.093